,Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate,LifeExpectency,Race2
938,2005,White,Male,75.5,952.9,High,White
939,2004,White,Male,75.5,953.2,High,White
940,2003,White,Male,75.1,988.8,High,White
941,2002,White,Male,74.9,1009,High,White
942,2001,White,Male,74.9,1012.1,High,White
943,2000,White,Male,74.7,1029.4,High,White
944,1999,White,Male,74.6,1040.1,High,White
945,1998,White,Male,74.5,1041.6,High,White
946,1997,White,Male,74.3,1058.7,High,White
947,1996,White,Male,73.9,1082.5,High,White
948,1995,White,Male,73.4,1107.2,High,White
949,1994,White,Male,73.3,1118.4,High,White
950,1993,White,Male,73.1,1138.7,High,White
951,1992,White,Male,73.2,1122.2,High,White
952,1991,White,Male,72.9,1142.8,High,White
953,1990,White,Male,72.7,1165.3,High,White
954,1989,White,Male,72.5,1176,High,White
955,1988,White,Male,72.2,1215.5,High,White
956,1987,White,Male,72.1,1213.1,High,White
957,1986,White,Male,71.9,1230.5,High,White
958,1985,White,Male,71.8,1249.5,High,White
959,1984,White,Male,71.8,1245.5,High,White
960,1983,White,Male,71.6,1259.8,High,White
961,1982,White,Male,71.5,1255.9,High,White
962,1981,White,Male,71.1,1282.4,High,White
963,1980,White,Male,70.7,1317.4,High,White
964,1979,White,Male,70.8,1289.5,High,White
965,1978,White,Male,70.4,1332.5,High,White
966,1977,White,Male,70.2,1343.5,High,White
967,1976,White,Male,69.9,1379.5,High,White
968,1975,White,Male,69.5,1391.1,High,White
969,1974,White,Male,69,1450.8,High,White
970,1973,White,Male,68.5,1507.2,High,White
971,1972,White,Male,68.3,1520.2,High,White
972,1971,White,Male,68.3,1514.4,High,White
973,1970,White,Male,68,1513.7,High,White
974,1969,White,Male,67.7,1570.4,High,White
975,1968,White,Male,67.5,1602.7,High,White
976,1967,White,Male,67.8,1566.9,High,White
977,1966,White,Male,67.5,1595.7,High,White
978,1965,White,Male,67.6,1589.9,High,White
979,1964,White,Male,67.7,1572,High,White
980,1963,White,Male,67.4,1614.7,High,White
981,1962,White,Male,67.7,1579.1,High,White
982,1961,White,Male,67.8,1547.3,High,White
983,1960,White,Male,67.4,1586,High,White
984,1959,White,Male,67.5,1552.1,High,White
985,1958,White,Male,67.4,1573.1,High,White
986,1957,White,Male,67.2,1581.7,High,White
987,1956,White,Male,67.5,1554.4,High,White
988,1955,White,Male,67.4,1544.7,High,White
989,1954,White,Male,67.5,1516.3,High,White
990,1953,White,Male,66.8,1589,High,White
991,1952,White,Male,66.6,1588.5,High,White
992,1951,White,Male,66.5,1621.7,High,White
993,1950,White,Male,66.5,1642.5,High,White
994,1949,White,Male,66.2,1647.8,High,White
995,1948,White,Male,65.5,1691.2,High,White
996,1947,White,Male,65.2,1718.6,High,White
997,1946,White,Male,65.1,1706.1,High,White
998,1945,White,Male,64.4,1761.6,High,White
999,1944,White,Male,64.5,1788,High,White
1000,1943,White,Male,63.2,1872.9,High,White
1001,1942,White,Male,65.9,1793.7,High,White
1002,1941,White,Male,64.4,1844.1,High,White
1003,1940,White,Male,62.1,1925.2,High,White
1004,1939,White,Male,63.3,1894.4,High,White
1005,1938,White,Male,63.2,1882.7,High,White
1006,1937,White,Male,59.3,2016.5,Low,White
1007,1936,White,Male,58,2087,Low,White
1008,1935,White,Male,61,1979.3,High,White
1009,1934,White,Male,60.5,2000.7,High,White
1010,1933,White,Male,62.7,1952.2,High,White
1011,1932,White,Male,62,1982.9,High,White
1012,1931,White,Male,60.8,1983.6,High,White
1013,1930,White,Male,59.7,2013.8,Low,White
1014,1929,White,Male,57.2,2141.2,Low,White
1015,1928,White,Male,57,2182.8,Low,White
1016,1927,White,Male,60.5,2048.6,High,White
1017,1926,White,Male,57,2190.6,Low,White
1018,1925,White,Male,59.3,2104.4,Low,White
1019,1924,White,Male,59.8,2073.7,Low,White
1020,1923,White,Male,57.1,2174.2,Low,White
1021,1922,White,Male,59.1,2088.2,Low,White
1022,1921,White,Male,60.8,1986.2,High,White
1023,1920,White,Male,54.4,2166.6,Low,White
1024,1919,White,Male,54.5,2096,Low,White
1025,1918,White,Male,37.1,2680.7,Low,White
1026,1917,White,Male,49.3,2375.9,Low,White
1027,1916,White,Male,50.2,2365.6,Low,White
1028,1915,White,Male,53.1,2267.8,Low,White
1029,1914,White,Male,52.7,2254.1,Low,White
1030,1913,White,Male,50.8,2322.1,Low,White
1031,1912,White,Male,51.9,2327.5,Low,White
1032,1911,White,Male,51.3,2350.3,Low,White
1033,1910,White,Male,48.6,2441.9,Low,White
1034,1909,White,Male,50.9,2363.8,Low,White
1035,1908,White,Male,49.9,2412.3,Low,White
1036,1907,White,Male,46,2637,Low,White
1037,1906,White,Male,47.3,2529.3,Low,White
1038,1905,White,Male,47.6,2544.7,Low,White
1039,1904,White,Male,46.6,2630.5,Low,White
1040,1903,White,Male,49.5,2494.2,Low,White
1041,1902,White,Male,50.2,2430.1,Low,White
1042,1901,White,Male,48,2582.3,Low,White
1043,1900,White,Male,46.6,2613.2,Low,White
